dokumen,kata,freq,jumlah_kata,tf,df,total_dokumen,idf
dok1,anyway,1,6,0.16666666666666666,2,1949,6.881924518947615
dok1,channel,1,6,0.16666666666666666,192,1949,2.317576327479779
dok1,check,1,6,0.16666666666666666,480,1949,1.4012855956056243
dok1,huh,1,6,0.16666666666666666,3,1949,6.476459410839451
dok1,kobyoshi02,1,6,0.16666666666666666,1,1949,7.575071699507561
dok1,youtub,1,6,0.16666666666666666,250,1949,2.0536107816453146
dok2,channel,1,20,0.05,192,1949,2.317576327479779
dok2,check,1,20,0.05,480,1949,1.4012855956056243
dok2,comment,1,20,0.05,89,1949,3.086435329775421
dok2,first,1,20,0.05,32,1949,4.1093357967078346
dok2,guy,1,20,0.05,120,1949,2.787579956725515
dok2,hello,1,20,0.05,143,1949,2.6122270692476537
dok2,i,1,20,0.05,526,1949,1.309770486769851
dok2,leav,1,20,0.05,15,1949,4.867021498405351
dok2,like,1,20,0.05,239,1949,2.09860814757605
dok2,monkey,2,20,0.1,2,1949,6.881924518947615
dok2,my,1,20,0.05,387,1949,1.616647006477779
dok2,new,1,20,0.05,72,1949,3.2984055804915053
dok2,pleas,2,20,0.1,220,1949,2.181444153155199
dok2,shirt,1,20,0.05,5,1949,5.96563378707346
dok2,subscrib,1,20,0.05,272,1949,1.9692696332115633
dok2,us,1,20,0.05,26,1949,4.316975161486079
dok2,video,1,20,0.05,373,1949,1.6534932798637454
dok2,white,1,20,0.05,5,1949,5.96563378707346
dok3,i,1,5,0.2,526,1949,1.309770486769851
dok3,just,1,5,0.2,139,1949,2.640597766376869
dok3,say,1,5,0.2,18,1949,4.684699941611396
dok3,test,1,5,0.2,1,1949,7.575071699507561
dok3,url,1,5,0.2,261,1949,2.0105512921848674
dok4,ass,1,8,0.125,6,1949,5.783312230279506
dok4,channel,1,8,0.125,192,1949,2.317576327479779
dok4,enjoy,1,8,0.125,15,1949,4.867021498405351
dok4,me,1,8,0.125,199,1949,2.2817668747830684
dok4,my,2,8,0.25,387,1949,1.616647006477779
dok4,sexi,1,8,0.125,12,1949,5.090165049719561
dok4,shake,1,8,0.125,6,1949,5.783312230279506
dok5,check,1,2,0.5,480,1949,1.4012855956056243
dok5,url,1,2,0.5,261,1949,2.0105512921848674
dok6,check,1,9,0.1111111111111111,480,1949,1.4012855956056243
dok6,hello,1,9,0.1111111111111111,143,1949,2.6122270692476537
dok6,kid,1,9,0.1111111111111111,8,1949,5.4956301578277245
dok6,my,1,9,0.1111111111111111,387,1949,1.616647006477779
dok6,new,1,9,0.1111111111111111,72,1949,3.2984055804915053
dok6,site,1,9,0.1111111111111111,16,1949,4.80248297726778
dok6,stuff,1,9,0.1111111111111111,6,1949,5.783312230279506
dok6,url,1,9,0.1111111111111111,261,1949,2.0105512921848674
dok6,websit,1,9,0.1111111111111111,41,1949,3.861499632803253
dok7,channel,1,3,0.3333333333333333,192,1949,2.317576327479779
dok7,my,1,3,0.3333333333333333,387,1949,1.616647006477779
dok7,subscrib,1,3,0.3333333333333333,272,1949,1.9692696332115633
dok8,came,1,11,0.09090909090909091,11,1949,5.17717642670919
dok8,check,1,11,0.09090909090909091,480,1949,1.4012855956056243
dok8,i,3,11,0.2727272727272727,526,1949,1.309770486769851
dok8,just,1,11,0.09090909090909091,139,1949,2.640597766376869
dok8,mute,1,11,0.09090909090909091,2,1949,6.881924518947615
dok8,soon,1,11,0.09090909090909091,25,1949,4.35619587463936
dok8,turn,1,11,0.09090909090909091,5,1949,5.96563378707346
dok8,view,1,11,0.09090909090909091,119,1949,2.7959482063960315
dok8,want,1,11,0.09090909090909091,74,1949,3.271006606303391
dok9,channel,1,7,0.14285714285714285,192,1949,2.317576327479779
dok9,check,1,7,0.14285714285714285,480,1949,1.4012855956056243
dok9,funni,1,7,0.14285714285714285,20,1949,4.57933942595357
dok9,my,1,7,0.14285714285714285,387,1949,1.616647006477779
dok9,should,1,7,0.14285714285714285,41,1949,3.861499632803253
dok9,video,1,7,0.14285714285714285,373,1949,1.6534932798637454
dok9,you,1,7,0.14285714285714285,395,1949,1.5961859346064389
dok10,channel,1,10,0.1,192,1949,2.317576327479779
dok10,check,1,10,0.1,480,1949,1.4012855956056243
dok10,i,1,10,0.1,526,1949,1.309770486769851
dok10,me,1,10,0.1,199,1949,2.2817668747830684
dok10,my,1,10,0.1,387,1949,1.616647006477779
dok10,next,1,10,0.1,12,1949,5.090165049719561
dok10,should,2,10,0.2,41,1949,3.861499632803253
dok10,tell,1,10,0.1,14,1949,4.936014369892303
dok10,you,1,10,0.1,395,1949,1.5961859346064389
dok11,hello,1,3,0.3333333333333333,143,1949,2.6122270692476537
dok11,me,1,3,0.3333333333333333,199,1949,2.2817668747830684
dok11,subscrib,1,3,0.3333333333333333,272,1949,1.9692696332115633
dok12,aliv,1,27,0.037037037037037035,4,1949,6.18877733838767
dok12,day,1,27,0.037037037037037035,29,1949,4.207775869521087
dok12,die,1,27,0.037037037037037035,4,1949,6.18877733838767
dok12,entir,1,27,0.037037037037037035,2,1949,6.881924518947615
dok12,famili,1,27,0.037037037037037035,5,1949,5.96563378707346
dok12,me,1,27,0.037037037037037035,199,1949,2.2817668747830684
dok12,not,2,27,0.07407407407407407,152,1949,2.5511911786612846
dok12,now,1,27,0.037037037037037035,44,1949,3.7908820655892996
dok12,onc,1,27,0.037037037037037035,3,1949,6.476459410839451
dok12,one,1,27,0.037037037037037035,63,1949,3.431936973116028
dok12,read,1,27,0.037037037037037035,39,1949,3.9115100533779144
