CONTENT,CLASS,content_lower,content_lower_rn,remove_numbers,content_tokenized,normalized,content_stopwords,content_lemma
"Huh, anyway check out this you[tube] channel: kobyoshi02",1,"huh, anyway check out this you[tube] channel: kobyoshi02",huh anyway check out this youtube channel kobyoshi02,huh anyway check out this youtube channel,"['huh', 'anyway', 'check', 'out', 'this', 'youtube', 'channel']","['huh', 'anyway', 'check', 'out', 'this', 'youtube', 'channel']","['huh', 'anyway', 'check', 'youtube', 'channel']","['huh', 'anyway', 'check', 'youtube', 'channel']"
"Hey guys check out my new channel and our first vid THIS IS US THE  MONKEYS!!! I'm the monkey in the white shirt,please leave a like comment  and please subscribe!!!!",1,"hey guys check out my new channel and our first vid this is us the  monkeys!!! i'm the monkey in the white shirt,please leave a like comment  and please subscribe!!!!",hey guys check out my new channel and our first vid this is us the monkeys im the monkey in the white shirtplease leave a like comment and please subscribe,hey guys check out my new channel and our first vid this is us the monkeys im the monkey in the white shirtplease leave a like comment and please subscribe,"['hey', 'guys', 'check', 'out', 'my', 'new', 'channel', 'and', 'our', 'first', 'vid', 'this', 'is', 'us', 'the', 'monkeys', 'im', 'the', 'monkey', 'in', 'the', 'white', 'shirtplease', 'leave', 'a', 'like', 'comment', 'and', 'please', 'subscribe']","['hey', 'guys', 'check', 'out', 'my', 'new', 'channel', 'and', 'our', 'first', 'video', 'this', 'is', 'us', 'the', 'monkeys', 'im', 'the', 'monkey', 'in', 'the', 'white', 'shirtplease', 'leave', 'a', 'like', 'comment', 'and', 'please', 'subscribe']","['hey', 'check', 'new', 'channel', 'first', 'video', 'monkeys', 'monkey', 'white', 'shirtplease', 'leave', 'like', 'comment', 'subscribe']","['hey', 'check', 'new', 'channel', 'first', 'video', 'monkey', 'monkey', 'white', 'shirtplease', 'leave', 'like', 'comment', 'subscribe']"
just for test I have to say murdev.com,1,just for test i have to say murdev.com,just for test i have to say url,just for test i have to say url,"['just', 'for', 'test', 'i', 'have', 'to', 'say', 'url']","['just', 'for', 'test', 'i', 'have', 'to', 'say', 'url']","['test', 'url']","['test', 'url']"
me shaking my sexy ass on my channel enjoy ^_^ ï»¿,1,me shaking my sexy ass on my channel enjoy ^_^ ï»¿,me shaking my sexy ass on my channel enjoy,me shaking my sexy ass on my channel enjoy,"['me', 'shaking', 'my', 'sexy', 'ass', 'on', 'my', 'channel', 'enjoy']","['me', 'shaking', 'my', 'sexy', 'ass', 'on', 'my', 'channel', 'enjoy']","['shaking', 'sexy', 'ass', 'channel', 'enjoy']","['shake', 'sexy', 'as', 'channel', 'enjoy']"
watch?v=vtaRGgvGtWQ   Check this out .ï»¿,1,watch?v=vtarggvgtwq   check this out .ï»¿,url check this out,url check this out,"['url', 'check', 'this', 'out']","['url', 'check', 'this', 'out']","['url', 'check']","['url', 'check']"
"Hey, check out my new website!! This site is about kids stuff. kidsmediausa  . com",1,"hey, check out my new website!! this site is about kids stuff. kidsmediausa  . com",hey check out my new website this site is about kids stuff url,hey check out my new website this site is about kids stuff url,"['hey', 'check', 'out', 'my', 'new', 'website', 'this', 'site', 'is', 'about', 'kids', 'stuff', 'url']","['hey', 'check', 'out', 'my', 'new', 'website', 'this', 'site', 'is', 'about', 'kids', 'stuff', 'url']","['hey', 'check', 'new', 'website', 'site', 'kids', 'stuff', 'url']","['hey', 'check', 'new', 'website', 'site', 'kid', 'stuff', 'url']"
Subscribe to my channel ï»¿,1,subscribe to my channel ï»¿,subscribe to my channel,subscribe to my channel,"['subscribe', 'to', 'my', 'channel']","['subscribe', 'to', 'my', 'channel']","['subscribe', 'channel']","['subscribe', 'channel']"
i turned it on mute as soon is i came on i just wanted to check the  views...ï»¿,0,i turned it on mute as soon is i came on i just wanted to check the  views...ï»¿,i turned it on mute as soon is i came on i just wanted to check the views,i turned it on mute as soon is i came on i just wanted to check the views,"['i', 'turned', 'it', 'on', 'mute', 'as', 'soon', 'is', 'i', 'came', 'on', 'i', 'just', 'wanted', 'to', 'check', 'the', 'views']","['i', 'turned', 'it', 'on', 'mute', 'as', 'soon', 'is', 'i', 'came', 'on', 'i', 'just', 'wanted', 'to', 'check', 'the', 'views']","['turned', 'mute', 'soon', 'wanted', 'check', 'views']","['turn', 'mute', 'soon', 'want', 'check', 'view']"
You should check my channel for Funny VIDEOS!!ï»¿,1,you should check my channel for funny videos!!ï»¿,you should check my channel for funny videos,you should check my channel for funny videos,"['you', 'should', 'check', 'my', 'channel', 'for', 'funny', 'videos']","['you', 'should', 'check', 'my', 'channel', 'for', 'funny', 'videos']","['check', 'channel', 'funny', 'videos']","['check', 'channel', 'funny', 'video']"
and u should.d check my channel and tell me what I should do next!ï»¿,1,and u should.d check my channel and tell me what i should do next!ï»¿,and u shouldd check my channel and tell me what i should do next,and u shouldd check my channel and tell me what i should do next,"['and', 'u', 'shouldd', 'check', 'my', 'channel', 'and', 'tell', 'me', 'what', 'i', 'should', 'do', 'next']","['and', 'you', 'shouldd', 'check', 'my', 'channel', 'and', 'tell', 'me', 'what', 'i', 'should', 'do', 'next']","['shouldd', 'check', 'channel']","['shouldd', 'check', 'channel']"
Hey subscribe to meï»¿,1,hey subscribe to meï»¿,hey subscribe to me,hey subscribe to me,"['hey', 'subscribe', 'to', 'me']","['hey', 'subscribe', 'to', 'me']","['hey', 'subscribe']","['hey', 'subscribe']"
