CONTENT,CLASS,content_lower,content_lower_rn
"Huh, anyway check out this you[tube] channel: kobyoshi02",1,"huh, anyway check out this you[tube] channel: kobyoshi02",huh anyway check out this youtube channel kobyoshi02
"Hey guys check out my new channel and our first vid THIS IS US THE  MONKEYS!!! I'm the monkey in the white shirt,please leave a like comment  and please subscribe!!!!",1,"hey guys check out my new channel and our first vid this is us the  monkeys!!! i'm the monkey in the white shirt,please leave a like comment  and please subscribe!!!!",hey guys check out my new channel and our first vid this is us the monkeys i m the monkey in the white shirt please leave a like comment and please subscribe
just for test I have to say murdev.com,1,just for test i have to say murdev.com,just for test i have to say url
me shaking my sexy ass on my channel enjoy ^_^ ﻿,1,me shaking my sexy ass on my channel enjoy ^_^ ﻿,me shaking my sexy ass on my channel enjoy
watch?v=vtaRGgvGtWQ   Check this out .﻿,1,watch?v=vtarggvgtwq   check this out .﻿,url check this out
"Hey, check out my new website!! This site is about kids stuff. kidsmediausa  . com",1,"hey, check out my new website!! this site is about kids stuff. kidsmediausa  . com",hey check out my new website this site is about kids stuff url
Subscribe to my channel ﻿,1,subscribe to my channel ﻿,subscribe to my channel
i turned it on mute as soon is i came on i just wanted to check the  views...﻿,0,i turned it on mute as soon is i came on i just wanted to check the  views...﻿,i turned it on mute as soon is i came on i just wanted to check the views
You should check my channel for Funny VIDEOS!!﻿,1,you should check my channel for funny videos!!﻿,you should check my channel for funny videos
and u should.d check my channel and tell me what I should do next!﻿,1,and u should.d check my channel and tell me what i should do next!﻿,and u should d check my channel and tell me what i should do next
Hey subscribe to me﻿,1,hey subscribe to me﻿,hey subscribe to me
 Once you have started reading do not stop. If you do not subscribe to me  within one day you and you're entire family will die so if you want to stay  alive subscribe right now.﻿,1, once you have started reading do not stop. if you do not subscribe to me  within one day you and you're entire family will die so if you want to stay  alive subscribe right now.﻿,once you have started reading do not stop if you do not subscribe to me within one day you and you re entire family will die so if you want to stay alive subscribe right now
https://twitter.com/GBphotographyGB﻿,1,https://twitter.com/gbphotographygb﻿,url
subscribe like comment﻿,1,subscribe like comment﻿,subscribe like comment
please like :D https://premium.easypromosapp.com/voteme/19924/616375350﻿,1,please like :d https://premium.easypromosapp.com/voteme/19924/616375350﻿,please like d url
"Hello! Do you like gaming, art videos, scientific experiments, tutorials,  lyrics videos, and much, much more of that? If you do please check out our  channel and subscribe to it, we've just started, but soon we hope we will  be able to cover all of our expectations... You can also check out what  we've got so far!﻿",1,"hello! do you like gaming, art videos, scientific experiments, tutorials,  lyrics videos, and much, much more of that? if you do please check out our  channel and subscribe to it, we've just started, but soon we hope we will  be able to cover all of our expectations... you can also check out what  we've got so far!﻿",hello do you like gaming art videos scientific experiments tutorials lyrics videos and much much more of that if you do please check out our channel and subscribe to it we ve just started but soon we hope we will be able to cover all of our expectations you can also check out what we ve got so far
I'm only checking the views﻿,0,i'm only checking the views﻿,i m only checking the views
http://www.ebay.com/itm/171183229277?ssPageName=STRK:MESELX:IT&amp;_trksid=p3984.m1555.l2649 ﻿,1,http://www.ebay.com/itm/171183229277?sspagename=strk:meselx:it&amp;_trksid=p3984.m1555.l2649 ﻿,url
http://ubuntuone.com/40beUutVu2ZKxK4uTgPZ8K﻿,1,http://ubuntuone.com/40beuutvu2zkxk4utgpz8k﻿,url
