CONTENT,CLASS,content_lower,content_lower_rn,content_tokenized,normalized,content_stopwords,content_lemma
"Huh, anyway check out this you[tube] channel: kobyoshi02",1,"huh, anyway check out this you[tube] channel: kobyoshi02",huh anyway check out this youtube channel kobyoshi02,"['huh', 'anyway', 'check', 'out', 'this', 'youtube', 'channel', 'kobyoshi02']",huh anyway check out this youtube channel kobyoshi02,"['huh', 'anyway', 'check', 'youtube', 'channel', 'kobyoshi02']","['huh', 'anyway', 'check', 'youtube', 'channel', 'kobyoshi02']"
"Hey guys check out my new channel and our first vid THIS IS US THE  MONKEYS!!! I'm the monkey in the white shirt,please leave a like comment  and please subscribe!!!!",1,"hey guys check out my new channel and our first vid this is us the  monkeys!!! i'm the monkey in the white shirt,please leave a like comment  and please subscribe!!!!",hey guys check out my new channel and our first vid this is us the monkeys i m the monkey in the white shirt please leave a like comment and please subscribe,"['hey', 'guys', 'check', 'out', 'my', 'new', 'channel', 'and', 'our', 'first', 'video', 'this', 'is', 'us', 'the', 'monkeys', 'i', 'm', 'the', 'monkey', 'in', 'the', 'white', 'shirt', 'please', 'leave', 'a', 'like', 'comment', 'and', 'please', 'subscribe']",hey guys check out my new channel and our first video this is us the monkeys i m the monkey in the white shirt please leave a like comment and please subscribe,"['hey', 'check', 'new', 'channel', 'first', 'video', 'monkeys', 'monkey', 'white', 'shirt', 'leave', 'like', 'comment', 'subscribe']","['hey', 'check', 'new', 'channel', 'first', 'video', 'monkey', 'monkey', 'white', 'shirt', 'leave', 'like', 'comment', 'subscribe']"
just for test I have to say murdev.com,1,just for test i have to say murdev.com,just for test i have to say url,"['just', 'for', 'test', 'i', 'have', 'to', 'say', 'url']",just for test i have to say url,"['test', 'url']","['test', 'url']"
me shaking my sexy ass on my channel enjoy ^_^ ﻿,1,me shaking my sexy ass on my channel enjoy ^_^ ﻿,me shaking my sexy ass on my channel enjoy,"['me', 'shaking', 'my', 'sexy', 'ass', 'on', 'my', 'channel', 'enjoy']",me shaking my sexy ass on my channel enjoy,"['shaking', 'sexy', 'ass', 'channel', 'enjoy']","['shake', 'sexy', 'as', 'channel', 'enjoy']"
watch?v=vtaRGgvGtWQ   Check this out .﻿,1,watch?v=vtarggvgtwq   check this out .﻿,url check this out,"['url', 'check', 'this', 'out']",url check this out,"['url', 'check']","['url', 'check']"
"Hey, check out my new website!! This site is about kids stuff. kidsmediausa  . com",1,"hey, check out my new website!! this site is about kids stuff. kidsmediausa  . com",hey check out my new website this site is about kids stuff url,"['hey', 'check', 'out', 'my', 'new', 'website', 'this', 'site', 'is', 'about', 'kids', 'stuff', 'url']",hey check out my new website this site is about kids stuff url,"['hey', 'check', 'new', 'website', 'site', 'kids', 'stuff', 'url']","['hey', 'check', 'new', 'website', 'site', 'kid', 'stuff', 'url']"
Subscribe to my channel ﻿,1,subscribe to my channel ﻿,subscribe to my channel,"['subscribe', 'to', 'my', 'channel']",subscribe to my channel,"['subscribe', 'channel']","['subscribe', 'channel']"
i turned it on mute as soon is i came on i just wanted to check the  views...﻿,0,i turned it on mute as soon is i came on i just wanted to check the  views...﻿,i turned it on mute as soon is i came on i just wanted to check the views,"['i', 'turned', 'it', 'on', 'mute', 'as', 'soon', 'is', 'i', 'came', 'on', 'i', 'just', 'wanted', 'to', 'check', 'the', 'views']",i turned it on mute as soon is i came on i just wanted to check the views,"['turned', 'mute', 'soon', 'wanted', 'check', 'views']","['turn', 'mute', 'soon', 'want', 'check', 'view']"
You should check my channel for Funny VIDEOS!!﻿,1,you should check my channel for funny videos!!﻿,you should check my channel for funny videos,"['you', 'should', 'check', 'my', 'channel', 'for', 'funny', 'videos']",you should check my channel for funny videos,"['check', 'channel', 'funny', 'videos']","['check', 'channel', 'funny', 'video']"
and u should.d check my channel and tell me what I should do next!﻿,1,and u should.d check my channel and tell me what i should do next!﻿,and u should d check my channel and tell me what i should do next,"['and', 'you', 'should', 'd', 'check', 'my', 'channel', 'and', 'tell', 'me', 'what', 'i', 'should', 'do', 'next']",and you should d check my channel and tell me what i should do next,"['check', 'channel']","['check', 'channel']"
Hey subscribe to me﻿,1,hey subscribe to me﻿,hey subscribe to me,"['hey', 'subscribe', 'to', 'me']",hey subscribe to me,"['hey', 'subscribe']","['hey', 'subscribe']"
 Once you have started reading do not stop. If you do not subscribe to me  within one day you and you're entire family will die so if you want to stay  alive subscribe right now.﻿,1, once you have started reading do not stop. if you do not subscribe to me  within one day you and you're entire family will die so if you want to stay  alive subscribe right now.﻿,once you have started reading do not stop if you do not subscribe to me within one day you and you re entire family will die so if you want to stay alive subscribe right now,"['once', 'you', 'have', 'started', 'read', 'do', 'not', 'stop', 'if', 'you', 'do', 'not', 'subscribe', 'to', 'me', 'within', 'one', 'day', 'you', 'and', 'you', 're', 'entire', 'family', 'will', 'die', 'so', 'if', 'you', 'want', 'to', 'stay', 'alive', 'subscribe', 'right', 'now']",once you have started read do not stop if you do not subscribe to me within one day you and you re entire family will die so if you want to stay alive subscribe right now,"['started', 'read', 'stop', 'subscribe', 'day', 'entire', 'family', 'die', 'want', 'stay', 'alive', 'subscribe', 'right', 'now']","['start', 'read', 'stop', 'subscribe', 'day', 'entire', 'family', 'die', 'want', 'stay', 'alive', 'subscribe', 'right', 'now']"
https://twitter.com/GBphotographyGB﻿,1,https://twitter.com/gbphotographygb﻿,url,['url'],url,['url'],['url']
subscribe like comment﻿,1,subscribe like comment﻿,subscribe like comment,"['subscribe', 'like', 'comment']",subscribe like comment,"['subscribe', 'like', 'comment']","['subscribe', 'like', 'comment']"
please like :D https://premium.easypromosapp.com/voteme/19924/616375350﻿,1,please like :d https://premium.easypromosapp.com/voteme/19924/616375350﻿,please like d url,"['please', 'like', 'd', 'url']",please like d url,"['like', 'url']","['like', 'url']"
"Hello! Do you like gaming, art videos, scientific experiments, tutorials,  lyrics videos, and much, much more of that? If you do please check out our  channel and subscribe to it, we've just started, but soon we hope we will  be able to cover all of our expectations... You can also check out what  we've got so far!﻿",1,"hello! do you like gaming, art videos, scientific experiments, tutorials,  lyrics videos, and much, much more of that? if you do please check out our  channel and subscribe to it, we've just started, but soon we hope we will  be able to cover all of our expectations... you can also check out what  we've got so far!﻿",hello do you like gaming art videos scientific experiments tutorials lyrics videos and much much more of that if you do please check out our channel and subscribe to it we ve just started but soon we hope we will be able to cover all of our expectations you can also check out what we ve got so far,"['hello', 'do', 'you', 'like', 'game', 'art', 'videos', 'scientific', 'experiments', 'tutorials', 'lyrics', 'videos', 'and', 'much', 'much', 'more', 'of', 'that', 'if', 'you', 'do', 'please', 'check', 'out', 'our', 'channel', 'and', 'subscribe', 'to', 'it', 'we', 've', 'just', 'started', 'but', 'soon', 'we', 'hope', 'we', 'will', 'be', 'able', 'to', 'cover', 'all', 'of', 'our', 'expectations', 'you', 'can', 'also', 'check', 'out', 'what', 'we', 've', 'got', 'so', 'far']",hello do you like game art videos scientific experiments tutorials lyrics videos and much much more of that if you do please check out our channel and subscribe to it we ve just started but soon we hope we will be able to cover all of our expectations you can also check out what we ve got so far,"['hello', 'like', 'game', 'art', 'videos', 'scientific', 'experiments', 'tutorials', 'lyrics', 'videos', 'check', 'channel', 'subscribe', 'started', 'soon', 'hope', 'able', 'cover', 'expectations', 'check', 'far']","['hello', 'like', 'game', 'art', 'video', 'scientific', 'experiment', 'tutorial', 'lyric', 'videos', 'check', 'channel', 'subscribe', 'start', 'soon', 'hope', 'able', 'cover', 'expectation', 'check', 'far']"
I'm only checking the views﻿,0,i'm only checking the views﻿,i m only checking the views,"['i', 'm', 'only', 'checking', 'the', 'views']",i m only checking the views,"['checking', 'views']","['check', 'view']"
http://www.ebay.com/itm/171183229277?ssPageName=STRK:MESELX:IT&amp;_trksid=p3984.m1555.l2649 ﻿,1,http://www.ebay.com/itm/171183229277?sspagename=strk:meselx:it&amp;_trksid=p3984.m1555.l2649 ﻿,url,['url'],url,['url'],['url']
http://ubuntuone.com/40beUutVu2ZKxK4uTgPZ8K﻿,1,http://ubuntuone.com/40beuutvu2zkxk4utgpz8k﻿,url,['url'],url,['url'],['url']
