CONTENT,CLASS,content_lower,normalized,content_rn,content_tokenized,content_filter,content_stopwords,content_stemm
"Huh, anyway check out this you[tube] channel: kobyoshi02",1,"huh, anyway check out this you[tube] channel: kobyoshi02","huh, anyway check out this you[tube] channel: kobyoshi02",huh anyway check out this youtube channel kobyoshi02,"['huh', 'anyway', 'check', 'out', 'this', 'youtube', 'channel', 'kobyoshi02']","['huh', 'anyway', 'check', 'out', 'this', 'youtube', 'channel', 'kobyoshi02']","['huh', 'anyway', 'check', 'youtube', 'channel', 'kobyoshi02']","['huh', 'anyway', 'check', 'youtub', 'channel', 'kobyoshi02']"
"Hey guys check out my new channel and our first vid THIS IS US THE  MONKEYS!!! I'm the monkey in the white shirt,please leave a like comment  and please subscribe!!!!",1,"hey guys check out my new channel and our first vid this is us the  monkeys!!! i'm the monkey in the white shirt,please leave a like comment  and please subscribe!!!!","hey guys check out my new channel and our first video this is us the  monkeys!!! i'm the monkey in the white shirt,please leave a like comment  and please subscribe!!!!",hey guys check out my new channel and our first video this is us the monkeys i m the monkey in the white shirt please leave a like comment and please subscribe,"['hey', 'guys', 'check', 'out', 'my', 'new', 'channel', 'and', 'our', 'first', 'video', 'this', 'is', 'us', 'the', 'monkeys', 'i', 'm', 'the', 'monkey', 'in', 'the', 'white', 'shirt', 'please', 'leave', 'a', 'like', 'comment', 'and', 'please', 'subscribe']","['hey', 'guys', 'check', 'out', 'my', 'new', 'channel', 'and', 'our', 'first', 'video', 'this', 'is', 'us', 'the', 'monkeys', 'i', 'the', 'monkey', 'in', 'the', 'white', 'shirt', 'please', 'leave', 'a', 'like', 'comment', 'and', 'please', 'subscribe']","['hey', 'guys', 'check', 'my', 'new', 'channel', 'first', 'video', 'us', 'monkeys', 'i', 'monkey', 'white', 'shirt', 'please', 'leave', 'like', 'comment', 'please', 'subscribe']","['hey', 'guy', 'check', 'my', 'new', 'channel', 'first', 'video', 'us', 'monkey', 'i', 'monkey', 'white', 'shirt', 'pleas', 'leav', 'like', 'comment', 'pleas', 'subscrib']"
just for test I have to say murdev.com,1,just for test i have to say murdev.com,just for test i have to say murdev.com,just for test i have to say url,"['just', 'for', 'test', 'i', 'have', 'to', 'say', 'url']","['just', 'for', 'test', 'i', 'have', 'to', 'say', 'url']","['just', 'test', 'i', 'say', 'url']","['just', 'test', 'i', 'say', 'url']"
me shaking my sexy ass on my channel enjoy ^_^ ﻿,1,me shaking my sexy ass on my channel enjoy ^_^ ﻿,me shaking my sexy ass on my channel enjoy ^_^ ﻿,me shaking my sexy ass on my channel enjoy,"['me', 'shaking', 'my', 'sexy', 'ass', 'on', 'my', 'channel', 'enjoy']","['me', 'shaking', 'my', 'sexy', 'ass', 'on', 'my', 'channel', 'enjoy']","['me', 'shaking', 'my', 'sexy', 'ass', 'my', 'channel', 'enjoy']","['me', 'shake', 'my', 'sexi', 'ass', 'my', 'channel', 'enjoy']"
watch?v=vtaRGgvGtWQ   Check this out .﻿,1,watch?v=vtarggvgtwq   check this out .﻿,watch?v=vtarggvgtwq   check this out .﻿,url check this out,"['url', 'check', 'this', 'out']","['url', 'check', 'this', 'out']","['url', 'check']","['url', 'check']"
"Hey, check out my new website!! This site is about kids stuff. kidsmediausa  . com",1,"hey, check out my new website!! this site is about kids stuff. kidsmediausa  . com","hey, check out my new website!! this site is about kids stuff. kidsmediausa  . com",hey check out my new website this site is about kids stuff url,"['hey', 'check', 'out', 'my', 'new', 'website', 'this', 'site', 'is', 'about', 'kids', 'stuff', 'url']","['hey', 'check', 'out', 'my', 'new', 'website', 'this', 'site', 'is', 'about', 'kids', 'stuff', 'url']","['hey', 'check', 'my', 'new', 'website', 'site', 'kids', 'stuff', 'url']","['hey', 'check', 'my', 'new', 'websit', 'site', 'kid', 'stuff', 'url']"
Subscribe to my channel ﻿,1,subscribe to my channel ﻿,subscribe to my channel ﻿,subscribe to my channel,"['subscribe', 'to', 'my', 'channel']","['subscribe', 'to', 'my', 'channel']","['subscribe', 'my', 'channel']","['subscrib', 'my', 'channel']"
i turned it on mute as soon is i came on i just wanted to check the  views...﻿,0,i turned it on mute as soon is i came on i just wanted to check the  views...﻿,i turned it on mute as soon is i came on i just wanted to check the  views...﻿,i turned it on mute as soon is i came on i just wanted to check the views,"['i', 'turned', 'it', 'on', 'mute', 'as', 'soon', 'is', 'i', 'came', 'on', 'i', 'just', 'wanted', 'to', 'check', 'the', 'views']","['i', 'turned', 'it', 'on', 'mute', 'as', 'soon', 'is', 'i', 'came', 'on', 'i', 'just', 'wanted', 'to', 'check', 'the', 'views']","['i', 'turned', 'mute', 'soon', 'i', 'came', 'i', 'just', 'wanted', 'check', 'views']","['i', 'turn', 'mute', 'soon', 'i', 'came', 'i', 'just', 'want', 'check', 'view']"
You should check my channel for Funny VIDEOS!!﻿,1,you should check my channel for funny videos!!﻿,you should check my channel for funny videos!!﻿,you should check my channel for funny videos,"['you', 'should', 'check', 'my', 'channel', 'for', 'funny', 'videos']","['you', 'should', 'check', 'my', 'channel', 'for', 'funny', 'videos']","['you', 'should', 'check', 'my', 'channel', 'funny', 'videos']","['you', 'should', 'check', 'my', 'channel', 'funni', 'video']"
and u should.d check my channel and tell me what I should do next!﻿,1,and u should.d check my channel and tell me what i should do next!﻿,and you should.d check my channel and tell me what i should do next!﻿,and you should d check my channel and tell me what i should do next,"['and', 'you', 'should', 'd', 'check', 'my', 'channel', 'and', 'tell', 'me', 'what', 'i', 'should', 'do', 'next']","['and', 'you', 'should', 'check', 'my', 'channel', 'and', 'tell', 'me', 'what', 'i', 'should', 'do', 'next']","['you', 'should', 'check', 'my', 'channel', 'tell', 'me', 'i', 'should', 'next']","['you', 'should', 'check', 'my', 'channel', 'tell', 'me', 'i', 'should', 'next']"
