word,count
i,972
this,739
the,719
you,678
to,669
and,645
my,603
numeric,590
out,584
check,572
a,519
on,389
it,385
is,341
song,339
url,323
video,320
of,314
subscribe,299
please,275
for,267
youtube,258
me,253
like,250
in,224
love,220
if,205
channel,204
so,200
am,195
just,172
music,156
do,149
can,148
that,147
thank,138
have,136
your,133
up,133
but,132
red_heart,130
new,122
n't,120
guys,119
be,118
will,112
views,110
are,110
at,102
get,99
all,97
from,95
money,91
make,89
with,89
hey,87
people,87
who,81
best,80
she,80
katy,80
not,78
comment,77
we,76
good,75
as,74
know,72
videos,71
would,69
how,69
want,68
or,68
see,67
one,65
much,65
was,65
more,64
our,63
really,60
time,60
only,59
police_car_light,59
go,58
eminem,58
old,57
does,56
could,56
world,56
thumb,56
us,55
help,55
no,54
because,54
perry,54
billion,53
by,53
everyone,52
what,51
has,51
when,51
here,50
visit,49
there,49
smiling_face_with_smiling_eyes,49
her,49
called,49
mixtape,49
an,48
over,48
shakira,48
he,47
laugh,47
heart_suit,47
read,46
they,46
give,46
now,44
free,44
some,44
why,44
should,43
share,43
still,43
its,42
way,42
today,42
website,41
watch,41
awesome,41
about,40
facebook,40
back,40
chance,40
any,39
god,39
nice,39
rapper,39
ever,38
take,38
playlist,38
year,37
watching,37
fuck,37
home,37
making,36
working,36
online,35
first,34
come,34
hi,34
covers,34
girl,34
very,34
also,33
got,33
think,33
most,33
going,33
cool,33
rihanna,33
years,32
dream,32
follow,31
look,31
month,31
life,31
start,31
beauty,30
pray,30
rap,29
dont,29
appreciate,29
comments,29
waka,29
great,28
then,28
sing,28
per,28
day,27
party,27
getting,27
these,27
hear,27
real,26
listen,26
'll,26
click,26
shit,26
those,26
extraordinary,26
even,25
made,25
oh,25
million,25
started,24
wow,24
need,24
mother,24
too,23
spam,23
right,22
hello,22
remix,22
many,22
dance,22
everyday,22
than,22
did,22
every,21
style,21
doing,21
sorry,21
boy,21
funny,20
're,20
support,20
hate,20
anyone,20
eyes,20
guy,20
live,20
off,20
heard,20
page,19
psy,19
never,19
name,19
being,19
rock,19
roar,19
mean,18
been,18
gangnam,18
lot,18
man,18
twitter,18
part,18
vote,18
better,18
lyrics,17
hope,17
cover,17
amaze,17
them,17
paid,17
hot,17
favorite,17
fans,17
work,17
leave,16
stop,16
've,16
hit,16
his,16
such,16
where,16
hard,16
believe,16
nothing,16
lie,16
fishing_pole,16
game,15
reach,15
true,15
few,15
link,15
type,15
success,15
pizza,15
fox,15
enjoy,14
soon,14
tell,14
view,14
before,14
likes,14
simple,14
ago,14
remember,14
were,14
regret,14
maybe,14
probably,14
megan,14
big,13
thing,13
while,13
trying,13
their,13
person,13
crazy,13
young,13
smiling_face_with_heart,13
little,13
queen,13
tiger,13
woman,13
makes,13
dope,13
shuffle,13
rand,13
sexy,12
next,12
coming,12
seconds,12
improve,12
win,12
gets,12
bad,12
google,12
keep,12
understand,12
own,12
miss,12
had,12
join,12
put,12
earth,12
found,12
almost,12
someone,12
voice,12
soo,12
moment,12
others,12
say,11
came,11
play,11
popular,11
gift,11
other,11
friends,11
well,11
face_blowing_a_kiss,11
mind,11
him,11
post,11
attention,11
download,11
same,11
birthday,11
artist,11
advertise,11
site,10
wanted,10
perfect,10
app,10
after,10
actually,10
feel,10
top,10
kind,10
subs,10
comes,10
football,10
let,10
always,10
don,10
already,10
lost,10
musician,10
vincent,10
original,10
africa,10
reason,9
buy,9
promise,9
pop,9
cards,9
happy,9
things,9
holy,9
lots,9
stupid,9
into,9
search,9
grinning_face,9
again,9
social,9
complete,9
second,9
miley,9
done,9
record,9
something,9
latest,9
without,9
track,9
press,9
fork_and_knife,9
charlie,9
pour,9
phenomenallyricshere,9
forward,9
income,9
far,8
millions,8
earn,8
ill,8
find,8
must,8
hour,8
baby,8
viewed,8
around,8
try,8
half,8
decent,8
upload,8
instagram,8
watched,8
looks,8
super,8
friend,8
whole,8
left,8
head,8
listening,8
sad,8
may,8
bit,8
away,8
school,8
cute,8
pretty,8
cyrus,8
fan,8
cup,8
else,8
fast,8
appreciated,8
bless,8
become,8
media,8
com,8
advertisements,8
lake,8
yourself,8
skills,8
white,7
stuff,7
yeah,7
last,7
takes,7
sure,7
minecraft,7
talent,7
myself,7
itunes,7
band,7
least,7
face,7
lets,7
book,7
easily,7
drop,7
months,7
fighting,7
minutes,7
hair,7
goal,7
daily,7
message,7
wont,7
house,7
write,7
opinion,7
famous,7
yall,7
days,7
paul,7
constitution,7
peace,7
might,7
person_surfing,7
snowboarder,7
industry,7
pass,7
button,7
soccer,7
dreaming,7
piano,7
step,7
price,7
ass,6
checking,6
news,6
took,6
korean,6
sites,6
sound,6
absolutely,6
feedback,6
constructive,6
강남스타일,6
saying,6
sign,6
bieber,6
everything,6
epic,6
face_with_tears_of_joy,6
single,6
damn,6
special,6
dick,6
saw,6
water,6
donate,6
imagine,6
against,6
fight,6
animals,6
small,6
jungle,6
black,6
picture,6
until,6
official,6
sounds,6
rocks,6
shuffling,6
times,6
past,6
wish,6
open_hands,6
beats,6
vines,6
dante,6
riled,6
following,6
range,6
adam,6
experience,6
monthly,6
family,5
show,5
producer,5
anymore,5
memories,5
clip,5
yet,5
quite,5
suck,5
criticism,5
card,5
looking,5
said,5
weird,5
mix,5
easy,5
justin,5
thousands,5
add,5
singing,5
place,5
pay,5
plus,5
tried,5
posts,5
register,5
theres,5
liked,5
songwriter,5
knows,5
job,5
sucks,5
mine,5
account,5
fun,5
hits,5
annoy,5
end,5
high,5
since,5
close,5
haha,5
forget,5
entertain,5
nearly,5
dollars,5
thats,5
named,5
makeup,5
version,5
stand,5
case,5
katty,5
champion,5
which,5
happen,5
gem_stone,5
kiss_mark,5
everybody,5
subscribed,5
means,5
canal,5
robot,5
nation,5
word,5
used,5
kid,5
prove,5
agree,5
pleas,5
person_wearing_turban,5
swag,5
fame,5
